red	green	blue
123	88	65	255
64	49	39	255
46	39	33	255
87	63	50	255
112	91	77	255
84	70	58	255
34	22	11	255
62	43	30	255
95	70	54	255
100	74	55	255
123	91	73	255
102	83	72	255
110	91	82	255
63	48	40	255
117	81	56	255
109	87	75	255
82	63	45	255
92	73	51	255
32	30	28	255
61	48	45	255
89	76	63	255
109	90	83	255
91	72	62	255
102	71	45	255
74	51	39	255
116	88	66	255
102	72	58	255
43	33	32	255
68	54	40	255
70	50	44	255
97	72	52	255
61	44	30	255
99	75	55	255
127	96	74	255
82	54	32	255
113	92	76	255
130	96	70	255
112	87	67	255
125	90	65	255
119	83	55	255
113	95	84	255
64	48	37	255
106	74	51	255
67	49	45	255
77	51	30	255
40	25	15	255
50	35	21	255
78	56	40	255
68	46	34	255
106	77	59	255
109	86	73	255
91	68	52	255
30	17	10	255
135	95	71	255
32	29	26	255
75	52	38	255
62	49	40	255
90	70	59	255
92	73	62	255
37	21	13	255
120	94	81	255
84	57	35	255
46	29	17	255
122	95	81	255
132	98	68	255
121	91	74	255
80	62	54	255
75	55	46	255
87	73	56	255
110	78	59	255
55	34	22	255
86	71	54	255
72	55	46	255
88	67	58	255
108	84	65	255
113	88	66	255
40	33	32	255
115	97	83	255
71	46	35	255
97	71	50	255
97	72	63	255
100	71	46	255
37	29	30	255
80	58	39	255
111	96	83	255
85	62	40	255
113	92	87	255
110	74	44	255
80	51	40	255
107	85	77	255
114	80	52	255
96	70	46	255
78	52	30	255
124	91	65	255
65	52	39	255
103	83	64	255
67	48	43	255
54	38	26	255
87	65	50	255
109	73	45	255
66	50	50	255
76	52	35	255
96	73	54	255
108	75	52	255
62	48	37	255
48	32	29	255
123	96	80	255
108	95	89	255
37	20	11	255
106	92	87	255
61	35	28	255
121	90	71	255
45	35	26	255
73	56	45	255
91	74	61	255
101	77	64	255
98	84	72	255
72	54	43	255
102	74	57	255
105	90	70	255
119	95	81	255
56	38	30	255
102	77	65	255
68	56	40	255
122	82	57	255
122	99	87	255
96	81	71	255
42	34	32	255
85	56	42	255
39	34	32	255
52	37	30	255
114	98	83	255
77	65	57	255
119	85	54	255
113	97	84	255
76	56	37	255
108	74	49	255
105	81	57	255
81	55	43	255
119	89	75	255
59	44	42	255
89	75	65	255
86	62	52	255
109	96	84	255
77	56	38	255
82	65	55	255
92	75	61	255
105	85	78	255
104	73	50	255
81	62	46	255
45	34	24	255
76	58	45	255
75	54	38	255
91	73	59	255
114	89	70	255
109	75	63	255
90	75	66	255
82	67	56	255
59	51	45	255
118	96	85	255
102	73	55	255
112	83	61	255
87	55	34	255
46	32	30	255
59	35	28	255
121	96	81	255
123	83	57	255
105	73	51	255
122	86	59	255
131	98	66	255
110	83	66	255
57	39	25	255
65	43	37	255
114	94	73	255
88	77	69	255
100	75	58	255
64	45	44	255
71	56	46	255
99	77	65	255
114	95	86	255
83	54	35	255
55	39	30	255
44	25	17	255
82	56	42	255
97	74	63	255
107	87	76	255
71	59	54	255
99	80	73	255
91	64	46	255
81	54	40	255
49	32	26	255
100	77	66	255
109	75	44	255
108	94	81	255
105	81	68	255
106	78	56	255
118	90	80	255
78	58	50	255
89	74	63	255
103	86	77	255
109	78	52	255
72	51	40	255
70	66	64	255
44	32	21	255
76	55	48	255
92	74	59	255
37	30	22	255
74	56	38	255
87	63	42	255
90	74	64	255
73	58	45	255
111	89	70	255
88	73	59	255
72	56	43	255
110	87	68	255
96	83	70	255
131	97	70	255
71	55	44	255
70	57	51	255
108	88	76	255
51	34	20	255
118	83	62	255
82	55	40	255
96	67	54	255
52	39	30	255
66	55	38	255
122	87	65	255
110	76	54	255
51	37	28	255
50	33	21	255
52	42	38	255
125	98	85	255
48	33	26	255
91	70	56	255
76	61	44	255
86	64	51	255
30	15	10	255
96	75	64	255
119	91	75	255
72	50	38	255
109	98	84	255
63	55	57	255
42	28	26	255
106	84	66	255
73	57	42	255
126	89	58	255
120	98	80	255
89	63	43	255
127	94	68	255
29	14	6	255
91	75	59	255
111	88	68	255
117	88	74	255
94	67	44	255
134	98	71	255
126	92	66	255
55	42	29	255
112	89	81	255
58	35	26	255
96	66	51	255
62	48	33	255
85	65	51	255
71	58	46	255
122	91	67	255
129	95	70	255
73	48	29	255
52	38	28	255
83	59	42	255
98	77	63	255
113	96	86	255
82	61	49	255
38	34	30	255
102	90	70	255
66	55	49	255
104	86	74	255
120	92	74	255
119	87	65	255
94	59	38	255
91	66	46	255
49	34	26	255
105	83	67	255
112	77	55	255
119	90	73	255
77	55	40	255
106	80	56	255
63	42	29	255
120	97	77	255
129	96	77	255
77	58	48	255
61	42	34	255
68	52	45	255
114	91	80	255
98	68	50	255
39	29	24	255
123	89	58	255
75	58	43	255
84	64	52	255
117	91	76	255
114	94	88	255
101	84	71	255
111	94	77	255
113	90	81	255
110	89	68	255
115	98	85	255
56	42	29	255
59	39	33	255
123	92	66	255
71	57	43	255
109	88	68	255
124	89	59	255
106	71	43	255
88	61	37	255
82	57	39	255
115	84	63	255
107	85	66	255
120	88	64	255
130	99	77	255
107	88	73	255
99	86	74	255
124	92	67	255
77	49	35	255
113	78	54	255
54	39	28	255
96	72	61	255
55	44	48	255
80	65	56	255
90	75	62	255
77	52	43	255
51	39	28	255
121	88	65	255
101	75	58	255
50	38	28	255
101	92	88	255
111	86	71	255
103	87	74	255
103	70	44	255
110	83	62	255
66	44	29	255
61	38	24	255
94	65	48	255
86	66	51	255
132	96	73	255
114	87	70	255
96	77	64	255
109	80	62	255
103	73	52	255
115	92	80	255
118	84	54	255
117	87	66	255
33	20	13	255
48	38	34	255
117	90	73	255
114	90	78	255
101	80	61	255
90	67	56	255
74	44	26	255
51	33	22	255
112	90	68	255
29	22	21	255
59	42	35	255
87	63	54	255
56	42	40	255
94	73	65	255
58	37	26	255
86	58	45	255
96	68	51	255
40	22	17	255
65	50	44	255
55	40	38	255
80	61	46	255
100	82	65	255
99	84	72	255
122	96	74	255
83	61	42	255
50	34	18	255
119	89	64	255
111	82	61	255
121	92	67	255
82	63	49	255
72	49	40	255
119	92	72	255
71	50	33	255
105	88	74	255
102	71	49	255
132	95	71	255
97	73	56	255
34	21	8	255
116	96	82	255
106	86	76	255
90	63	46	255
80	52	33	255
128	94	71	255
100	73	52	255
61	44	34	255
68	57	52	255
52	34	22	255
98	73	57	255
59	38	25	255
92	65	49	255
130	96	74	255
102	84	64	255
112	87	71	255
87	59	44	255
126	94	76	255
81	52	34	255
101	86	71	255
129	94	72	255
48	33	22	255
58	44	35	255
99	80	62	255
85	67	61	255
99	71	48	255
120	90	64	255
34	29	25	255
37	22	17	255
77	54	42	255
81	65	49	255
91	68	56	255
85	71	57	255
118	98	81	255
95	82	70	255
102	75	51	255
89	59	48	255
102	78	58	255
66	43	37	255
50	40	28	255
104	74	62	255
106	82	66	255
116	92	72	255
85	57	35	255
99	71	49	255
109	82	62	255
86	71	58	255
63	46	34	255
114	92	77	255
88	74	61	255
116	95	80	255
126	90	66	255
129	95	66	255
115	97	87	255
61	43	32	255
131	96	71	255
117	92	73	255
130	95	71	255
127	95	76	255
44	30	20	255
101	85	68	255
28	24	20	255
74	46	25	255
57	42	32	255
98	73	68	255
85	63	51	255
95	73	57	255
110	74	48	255
105	84	70	255
51	35	22	255
64	38	20	255
29	24	21	255
116	84	66	255
57	45	40	255
87	65	54	255
77	50	32	255
71	42	24	255
109	73	49	255
76	52	39	255
76	59	38	255
40	24	17	255
78	55	42	255
96	73	58	255
124	94	77	255
90	73	52	255
118	94	71	255
100	84	65	255
106	76	61	255
123	96	84	255
87	68	62	255
109	76	57	255
135	94	73	255
111	84	61	255
101	76	55	255
74	54	42	255
111	87	68	255
84	65	55	255
94	66	45	255
50	39	26	255
67	44	32	255
132	97	70	255
105	75	57	255
95	65	51	255
87	72	58	255
119	95	85	255
29	15	8	255
65	44	37	255
103	75	62	255
108	91	78	255
110	85	73	255
97	75	56	255
92	68	48	255
72	57	55	255
117	96	75	255
86	54	39	255
116	98	82	255
111	92	77	255
128	96	71	255
80	57	40	255
44	29	18	255
90	65	46	255
103	78	70	255
97	78	64	255
127	98	78	255
104	82	67	255
63	45	45	255
98	75	57	255
29	20	11	255
111	78	55	255
101	68	49	255
110	73	46	255
96	74	52	255
28	22	18	255
56	43	37	255
94	74	62	255
65	56	45	255
104	68	45	255
48	35	22	255
87	64	52	255
86	67	54	255
70	51	40	255
112	95	86	255
54	45	40	255
107	77	56	255
95	74	63	255
76	59	49	255
123	95	82	255
83	63	52	255
121	94	77	255
100	67	46	255
52	45	45	255
77	56	42	255
90	59	40	255
104	73	54	255
35	24	22	255
45	34	28	255
101	76	66	255
103	71	52	255
108	87	68	255
123	88	59	255
64	49	33	255
38	24	18	255
102	80	58	255
66	45	37	255
55	37	26	255
65	48	39	255
104	76	62	255
116	94	72	255
85	59	35	255
102	81	71	255
131	98	70	255
105	73	55	255
128	95	68	255
74	55	48	255
102	76	67	255
99	76	56	255
63	48	34	255
127	97	75	255
62	44	37	255
100	75	62	255
106	70	44	255
73	51	32	255
130	97	71	255
83	54	39	255
39	33	34	255
112	96	80	255
43	30	18	255
81	61	43	255
45	26	22	255
81	54	44	255
57	44	32	255
108	78	55	255
95	78	64	255
59	43	43	255
74	51	33	255
112	99	88	255
109	92	78	255
112	82	58	255
116	86	66	255
88	68	54	255
70	50	38	255
89	57	37	255
109	78	56	255
124	96	77	255
99	68	50	255
39	32	26	255
92	74	63	255
91	77	65	255
120	95	82	255
74	56	42	255
111	89	68	255
121	99	74	255
43	38	35	255
67	46	32	255
95	67	51	255
105	77	57	255
67	49	39	255
105	80	64	255
74	59	50	255
109	84	72	255
101	65	46	255
116	97	90	255
103	77	62	255
85	59	46	255
128	98	70	255
110	90	80	255
97	80	63	255
61	45	42	255
71	55	48	255
117	94	83	255
99	76	67	255
113	80	50	255
80	59	40	255
62	49	34	255
100	80	59	255
97	83	71	255
111	80	55	255
111	97	85	255
84	58	42	255
80	62	48	255
46	30	24	255
51	37	32	255
68	51	37	255
125	97	76	255
109	74	46	255
67	40	26	255
89	61	39	255
99	72	52	255
76	61	48	255
40	33	26	255
65	37	24	255
78	57	52	255
93	82	72	255
100	86	75	255
72	50	42	255
46	34	20	255
107	82	63	255
134	99	75	255
37	29	24	255
80	51	34	255
90	61	40	255
128	92	65	255
105	76	54	255
90	78	70	255
67	45	29	255
121	99	85	255
116	76	50	255
126	92	70	255
50	32	18	255
55	42	33	255
58	42	29	255
